,name,desc,url,version,license,dependencies,install_30,install_90,install_365,on_request_30,on_request_90,on_request_365,build_error_30,build_error_90,build_error_365
0,a2ps,Any-to-PostScript filter,https://www.gnu.org/software/a2ps/,4.15,GPL-3.0-or-later,"bdw-gc, libpaper",43,204,1188,44,205,1189,0,0,0
1,a52dec,Library for decoding ATSC A/52 streams (AKA 'AC-3'),https://liba52.sourceforge.io/,0.7.4,GPL-2.0-or-later,,42,155,845,14,69,358,0,0,0
2,aacgain,AAC-supporting version of mp3gain,https://aacgain.altosdesign.com/,1.8,GPL-2.0-or-later,,20,133,629,20,133,629,0,0,0
3,aalib,Portable ASCII art graphics library,https://aa-project.sourceforge.io/aalib/,1.4rc5,GPL-2.0-or-later,,60,292,1499,51,234,1082,0,0,0
4,aamath,Renders mathematical expressions as ASCII art,http://fuse.superglue.se/aamath/,0.3,GPL-2.0-only,,9,46,156,9,46,155,0,0,0
5,aarch64-elf-binutils,GNU Binutils for aarch64-elf cross development,https://www.gnu.org/software/binutils/,2.40,GPL-3.0-or-later,,91,512,1655,25,177,611,0,0,0
6,aarch64-elf-gcc,GNU compiler collection for aarch64-elf,https://gcc.gnu.org,12.2.0,GPL-3.0-or-later with GCC-exception-3.1,"aarch64-elf-binutils, gmp, libmpc, mpfr",53,268,1228,53,268,1228,0,0,0
7,aardvark_shell_utils,Utilities to aid shell scripts or command-line users,http://www.laffeycomputer.com/shellutils.html,1.0,GPL-2.0-or-later,,10,69,706,5,26,160,0,0,0
8,abcde,Better CD Encoder,https://abcde.einval.com,2.9.3,GPL-2.0-or-later,"cdrtools, eye-d3, flac, glyr, lame, libdiscid, mkcue, perl, vorbis-tools",63,192,711,63,192,710,0,0,0
9,abcl,Armed Bear Common Lisp: a full implementation of Common Lisp,https://abcl.org/,1.9.1,GPL-2.0-or-later with Classpath-exception-2.0,"ant, openjdk, rlwrap",48,144,499,48,144,499,0,0,0
10,abcm2ps,ABC music notation software,http://moinejf.free.fr,8.14.14,GPL-3.0-or-later,,15,119,281,15,119,281,0,0,0
11,abcmidi,Converts abc music notation files to MIDI files,https://ifdo.ca/~seymour/runabc/top.html,2023.02.08,GPL-2.0-or-later,,103,475,1362,103,475,1361,0,0,0
12,abduco,Provides session management: i.e. separate programs from terminals,https://www.brain-dump.org/projects/abduco,0.6,ISC,,3,20,129,3,20,129,0,0,0
